bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Vila Buarque,Rua Maria Antônia,38.0,1.0,1.0,0,R$ 1.550,R$ 628 Condominio,"Rua Maria Antônia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5467645,-46.6504256,1550.0
Vila Buarque,Rua Marquês de Itu,26.0,1.0,1.0,0,R$ 1.550,R$ 650 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1550.0
Vila Buarque,Rua Marquês de Itu,26.0,1.0,1.0,0,R$ 1.550,R$ 700 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1550.0
Centro,Rua Brigadeiro Tobias,52.0,1.0,1.0,0,R$ 1.550,R$ 300 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1550.0
Centro,"Rua Cásper Libero ,501 Apto  11",26.0,1.0,1.0,0,R$ 1.550,R$ 475 Condominio,"Rua Cásper Libero ,501 Apto  11, Centro, São Paulo, São Paulo, Brasil",-23.5370144,-46.6361536,1550.0
Luz,Avenida Tiradentes,30.0,1.0,1.0,0,R$ 1.550,R$ 180 Condominio,"Avenida Tiradentes, Luz, São Paulo, São Paulo, Brasil",-23.5290926,-46.631703,1550.0
Centro,Rua Álvaro de Carvalho,27.0,1.0,1.0,1,R$ 1.502,R$ 688 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1502.0
Vila Buarque,Rua General Jardim,37.0,1.0,1.0,0,R$ 1.529,R$ 990 Condominio,"Rua General Jardim, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5446395,-46.6489344,1529.0
Sé,Rua Riachuelo,50.0,2.0,1.0,0,R$ 1.530,R$ 800 Condominio,"Rua Riachuelo, Sé, São Paulo, São Paulo, Brasil",-23.5506284,-46.6367381,1530.0
Centro,Avenida Duque de Caxias,35.0,1.0,1.0,0,R$ 1.530,R$ 250 Condominio,"Avenida Duque de Caxias, Centro, São Paulo, São Paulo, Brasil",-23.5378316,-46.6442562,1530.0
Centro,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.530,R$ 495 Condominio,"Rua dos Andradas, Centro, São Paulo, São Paulo, Brasil",-23.5384537,-46.6378847,1530.0
Vila Buarque,Rua Marquês de Itu,29.0,1.0,1.0,1,R$ 1.530,R$ 579 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1530.0
Sé,Rua Riachuelo,36.0,1.0,1.0,0,R$ 1.530,R$ 819 Condominio,"Rua Riachuelo, Sé, São Paulo, São Paulo, Brasil",-23.5506284,-46.6367381,1530.0
Sé,Rua Tabatinguera,23.0,1.0,1.0,0,R$ 1.535,R$ 453 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1535.0
Santa Efigênia,Largo do Arouche,33.0,1.0,1.0,0,R$ 1.540,R$ 545 Condominio,"Largo do Arouche, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5409853,-46.646582,1540.0
